Id,Category
0,2
1,10
2,8
3,9
4,6
5,3
6,9
7,10
8,2
9,2
10,0
11,0
12,9
13,10
14,0
15,4
16,9
17,2
18,5
19,9
20,3
21,5
22,3
23,3
24,9
25,3
26,10
27,0
28,9
29,8
30,2
31,9
32,2
33,2
34,5
35,2
36,5
37,10
38,10
39,8
40,6
41,2
42,5
43,4
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,1
54,0
55,8
56,5
57,9
58,6
59,6
60,5
61,5
62,2
63,3
64,10
65,8
66,3
67,9
68,4
69,10
70,2
71,5
72,5
73,8
74,9
75,0
76,4
77,2
78,1
79,9
80,4
81,0
82,9
83,8
84,8
85,0
86,4
87,4
88,3
89,6
90,2
91,0
92,0
93,2
94,0
95,6
96,1
97,2
98,6
99,10
100,2
101,5
102,8
103,0
104,0
105,1
106,6
107,5
108,9
109,3
110,5
111,5
112,5
113,0
114,9
115,4
116,9
117,6
118,9
119,3
120,8
121,5
122,0
123,5
124,2
125,5
126,5
127,8
128,10
129,9
130,5
131,0
132,10
133,4
134,2
135,2
136,3
137,10
138,3
139,0
140,2
141,10
142,2
143,5
144,9
145,0
146,9
147,5
148,2
149,5
150,5
151,4
152,6
153,0
154,2
155,1
156,1
157,2
158,8
159,2
160,5
161,8
162,5
163,5
164,9
165,2
166,5
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,9
175,2
176,2
177,10
178,8
179,4
180,4
181,8
182,9
183,5
184,10
185,9
186,2
187,0
188,2
189,4
190,1
191,3
192,3
193,2
194,5
195,5
196,8
197,0
198,0
199,0
200,9
201,2
202,8
203,9
204,4
205,0
206,7
207,9
208,10
209,4
210,0
211,5
212,8
213,2
214,2
215,0
216,10
217,1
218,9
219,0
220,5
221,2
222,2
223,6
224,5
225,5
226,9
227,9
228,6
229,0
230,0
231,2
232,2
233,2
234,3
235,9
236,4
237,10
238,0
239,6
240,5
241,8
242,8
243,4
244,2
245,2
246,5
247,9
248,10
249,4
250,9
251,3
252,5
253,2
254,5
255,0
256,0
257,9
258,4
259,2
260,5
261,3
262,10
263,5
264,4
265,9
266,1
267,0
268,0
269,9
270,4
271,0
272,8
273,5
274,5
275,4
276,9
277,5
278,2
279,2
280,9
281,9
282,4
283,0
284,10
285,2
286,2
287,4
288,3
289,10
290,9
291,0
292,8
293,5
294,4
295,0
296,6
297,0
298,2
299,5
300,0
301,9
302,2
303,1
304,0
305,10
306,2
307,0
308,9
309,3
310,1
311,0
312,2
313,8
314,2
315,0
316,9
317,0
318,5
319,9
320,2
321,2
322,5
323,1
324,4
325,5
326,5
327,6
328,10
329,4
330,3
331,0
332,6
333,9
334,4
335,2
336,3
337,3
338,5
339,10
340,9
341,6
342,5
343,2
344,5
345,5
346,8
347,6
348,4
349,9
350,2
351,10
352,6
353,2
354,7
355,2
356,4
357,10
358,10
359,4
360,2
361,5
362,10
363,5
364,2
365,5
366,4
367,2
368,10
369,0
370,9
371,4
372,2
373,0
374,2
375,0
376,9
377,9
378,2
379,5
380,10
381,6
382,0
383,2
384,0
385,0
386,4
387,10
388,10
389,8
390,5
391,2
392,10
393,8
394,1
395,3
396,8
397,8
398,4
399,9
400,9
401,4
402,9
403,9
404,0
405,3
406,5
407,5
408,5
409,4
410,9
411,10
412,0
413,9
414,8
415,0
416,1
417,0
418,3
419,2
420,5
421,2
422,2
423,2
424,3
425,1
426,10
427,9
428,9
429,9
430,5
431,0
432,2
433,8
434,0
435,2
436,8
437,10
438,2
439,2
440,10
441,4
442,2
443,0
444,5
445,3
446,0
447,10
448,0
449,2
450,4
451,9
452,2
453,2
454,6
455,6
456,5
457,8
458,8
459,10
460,10
461,9
462,10
463,4
464,2
465,2
466,6
467,3
468,9
469,0
470,5
471,0
472,8
473,8
474,9
475,0
476,6
477,2
478,4
479,0
480,5
481,4
482,8
483,2
484,10
485,5
486,8
487,9
488,5
489,9
490,3
491,6
492,1
493,2
494,2
495,2
496,8
497,10
498,2
499,10
500,0
501,1
502,6
503,2
504,4
